"request","label"
"통증이 심해지고 있어요. 진통제를 받을 수 있을까요?", 0
"체온이 높아진 것 같아요. 열을 재주실 수 있나요?", 0
"혈압을 측정해 주세요.", 0
"오늘의 식단에 대해 설명해주세요.", 0
"주사 부위가 부어 있습니다. 확인해주시겠어요?", 0
"피부 발진이 생겼습니다. 의사 선생님께 보여주세요.", 0
"숨쉬기가 어려워요. 산소 마스크를 착용해야 할까요?", 0
"혈당 체크를 해야 할 시간인 것 같아요.", 0
"약 복용 시간을 알려주세요.", 0
"의사 선생님과 상담이 필요해요.", 0
"IV 주입속도를 조절해 주세요.", 0
"피부가 건조해요. 보습제를 바를 수 있나요?", 0
"밤에 잘 수 있도록 수면제를 요청합니다.", 0
"오늘 받은 검사 결과를 설명해주세요.", 0
"수술 부위가 아프고 붉어졌어요.", 0
"호흡기 치료를 받아야 할 것 같아요.", 0
"미리 약을 준비해둘 수 있나요?", 0
"혈액 검사 결과를 확인하고 싶습니다.", 0
"영양 상담을 받고 싶어요.", 0
"근육 경련이 있어요. 대처 방법을 알려주세요.", 0
"가슴 통증이 있습니다. 심전도 검사가 필요해요.", 0
"배액관 관리를 해주세요.", 0
"귀에서 이상한 소리가 들려요.", 0
"알레르기 반응을 보고 싶어요.", 0
"투석 치료 전 준비를 도와주세요.", 0
"수술 후 감염 예방을 위한 지침을 알려주세요.", 0
"장비 사용법을 설명해주세요.", 0
"감염 방지를 위한 조치가 필요합니다.", 0
"종양학 치료에 대한 설명이 필요해요.", 0
"탈수 증상이 있어요. 수분 보충을 도와주세요.", 0
"향후 건강 관리 계획을 세우고 싶어요.", 0
"침대 시트를 교체해 주세요.", 1
"목욕을 도와주실 수 있나요?", 1
"화장실에 도움이 필요합니다.", 1
"발에 마사지를 받고 싶어요.", 1
"수액이 떨어져가고 있습니다. 교체해 주세요.", 1
"침대 옆 테이블을 청소해주세요.", 1
"방에 좀 더 따뜻한 이불을 가져다주세요.", 1
"식사 후 설거지를 도와주세요.", 1
"머리를 감겨주실 수 있나요?", 1
"저녁에 추가로 담요를 주세요.", 1
"거동이 불편한 저를 이동시켜주세요.", 1
"병실 문을 잠그는 방법을 알려주세요.", 1
"새로운 수건을 제공해주세요.", 1
"물병을 채워주시겠어요?", 1
"방문객을 안내해주세요.", 1
"발목 보호대를 착용하도록 도와주세요.", 1
"바퀴 달린 의자를 가져다주세요.", 1
"휠체어를 정리해주세요.", 1
"손톱을 깎아주세요.", 1
"눈약을 점안해야 해요.", 1
"귀를 청소해주세요.", 1
"샤워를 할 때 안전 바를 설치해주세요.", 1
"체중을 측정해주세요.", 1
"식사 전 손을 씻게 도와주세요.", 1
"의료용 스타킹을 착용하게 도와주세요.", 1
"병실의 온도를 조절해주세요.", 1
"창문 커튼을 치워주세요.", 1
"개인 물건을 정리해주세요.", 1
"안경을 청소해주세요.", 1
"TV 리모컨을 건네주세요.", 1
"신문을 가져다주세요.", 1
"전화기를 가까이 두어주세요.", 1
"방범을 위한 조치를 취해주세요.", 1
"사진을 찍어주세요.", 1
"의료 기기의 배터리를 교체해주세요.", 1
"투약 알람을 설정해주세요.", 1
"병실의 빛을 조절해주세요.", 1
"저녁에 간식을 준비해주세요.", 1
"방을 더 밝게 해주세요.", 1
"병원 라디오를 들을 수 있게 해주세요.", 1
"이동식 침대가 필요합니다.", 1
"안정을 취할 수 있는 방법을 알려주세요.", 1
"병원비 명세서를 요청합니다.", 2
"퇴원 절차에 대해 알고 싶습니다.", 2
"개인 정보 변경이 있습니다. 업데이트해주세요.", 2
"보험 처리에 대해 자세히 알고 싶어요.", 2
"의료 기록을 요청합니다.", 2
"다음 예약 날짜를 확인하고 싶습니다.", 2
"주차 허가증이 필요합니다.", 2
"병실을 업그레이드하고 싶어요.", 2
"외래 진료 일정을 조정하고 싶습니다.", 2
"의료기기 대여에 대한 정보가 필요합니다.", 2
"병원 내 와이파이 접속 방법을 알려주세요.", 2
"다음 진료 예약을 변경하고 싶어요.", 2
"병원 셔틀버스 시간표를 확인하고 싶습니다.", 2
"병원의 특정 부서 위치를 알려주세요.", 2
"처방전을 복사해주세요.", 2
"병원 이용 규칙을 설명해주세요.", 2
"방문객 등록을 도와주세요.", 2
"주차 공간이 부족합니다. 해결 방법을 알려주세요.", 2
"병원 내 이벤트 정보가 필요해요.", 2
"외래 진료 절차에 대해 설명해주세요.", 2
"병원에서 제공하는 서비스 리스트를 받고 싶어요.", 2
"의료 장비 소독 방법에 대해 알고 싶습니다.", 2
"수납 과정에서의 오류를 확인해주세요.", 2
"의료진 소개를 받고 싶어요.", 2
"병실에서의 개인정보 보호 방법을 알려주세요.", 2
"병원 내 부서별 연락처 리스트를 제공해주세요.", 2
"긴급 상황 발생 시 대응 방법을 알고 싶어요.", 2
"병원 리뷰를 작성하고 싶어요.", 2
"병원 자원봉사자 프로그램에 대해 알고 싶습니다.", 2
"장기 치료를 위한 금융 상담이 필요해요.", 2
"직원 복지 프로그램에 대한 정보가 필요합니다.", 2
"병원 내 미술전시회 일정을 알고 싶어요.", 2
"의료 보조기구 구매 방법을 알고 싶습니다.", 2
"건강보험 적용 범위를 확인하고 싶어요.", 2
"병원 출입 제한 규정을 확인하고 싶어요.", 2
"환자 동의서 서식을 제공해주세요.", 2
"치료 비용 지원 프로그램에 대해 알고 싶어요.", 2
"개인 건강 기록을 전자적으로 요청합니다.", 2
"건강 보험 적용 여부를 확인해주세요.", 2
"응급실 이용 절차에 대해 설명해주세요.", 2